Source,Name,RSS feed URLs (where available),Type,Associated Twitter Handle,Associated Publisher,Text Aliases,Tags
http://www.jewishledger.com/,Jewish Ledger,,News Source,@CTJewishLedger,Jewish Ledger,,Referring|Jewish|NAmerica
http://jewishnews.timesofisrael.com,Jewish News,,News Source,@JewishNewsUK,Jewish News,,Referring|Jewish|Europe
http://www.jewishaz.com/,Jewish News,,News Source,@phxjnews,Jewish News,,Referring|Jewish|NAmerica
http://www.jewishpost.com,Jewish Post of New York,,News Source,,Jewish Post of New York,,Referring|Jewish|NAmerica
https://www.jta.org/,Jewish Telegraphic Agency - The Global Jewish News Source,,News Source,@JTAnews,Jewish Telegraphic Agency - The Global Jewish News Source,,Referring|Wire|NAmerica
http://jewish-voice-from-germany.de/cms/,Jewish Voice from Germany,,News Source,@JewishVoiceFG,Jewish Voice from Germany,,Referring|Jewish|Europe
https://jordantimes.com,Jordan Times,,News Source,@jordantimes,Jordan Times,,Referring|International|MENA
https://www.journaldemontreal.com,Journal de Montreal,,News Source,@JdeMontreal,Journal de Montreal,,Referring|International|NAmerica
https://jstreet.org,Jstreet,,News Source,@jstreetdotorg,Jstreet,,Referring|Jewish|NAmerica
https://www.kaleva.fi,Kaleva,,News Source,@Kaleva_fi,Kaleva,,Referring|International|NAmerica
https://kashmirobserver.net,Kashmir Observer,,News Source,@kashmirobserver,Kashmir Observer,,Referring|International|Asia
https://www.kauppalehti.fi,Kauppalehti,,News Source,@KauppalehtiFi,Kauppalehti,,Referring|International|Europe
https://www.khaleejtimes.com,Khaleej Times,,News Source,@khaleejtimes,Khaleej Times,,Referring|International|MENA
http://www.koreatimes.co.kr,Korea Times,,News Source,@koreatimes,Korea Times,,Referring|International|Asia
korrespondent.net/magazine/,Korrespondent,,News Source,@Korrespondent,Korrespondent,,Referring|International|Europe
https://kouvolansanomat.fi,Kouvolan Sanomat,,News Source,@KouvolanSanomat,Kouvolan Sanomat,,Referring|International|Europe
https://www.kuna.net.kw,Kuwait News Agency,,News Source,@kuna_en,Kuwait News Agency,,Referring|Wire|MENA
www.lactualite.com,L'actualité,,News Source,@Lactualite,L'actualité,,Referring|International|NAmerica
espresso.repubblica.it,L'Espresso,,News Source,@espressonline,L'Espresso,,Referring|International|Europe
lexpress.fr,L'Express,,News Source,@LEXPRESS,L'Express,,Referring|International|Europe
https://www.lexpressiondz.com,L'expression,,News Source,@Lexpressiondz,L'expression,,Referring|International|MENA
nouvelobs.com,L'Obs,,News Source,@lobs,L'Obs,,Referring|International|Europe
https://www.lorientlejour.com,L'Orient le Jour,,News Source,@LOrientLeJour,L'Orient le Jour,,Referring|International|MENA
http://www.estrellavalpo.cl,La Estrella,,News Source,"@hdadlaestrella
",La Estrella,,Referring|International|LAmerica
https://www.lanacion.com.ar,La Nacion,,News Source,@LANACION,La Nacion,,Referring|International|LAmerica
https://www.lanouvelletribune.info,La Nouvelle Tribune,,News Source,@lanouvelleT,La Nouvelle Tribune,,Referring|International|MENA
https://www.milenio.com/,La Opinion Milenio,,News Source,@Milenio,La Opinion Milenio,,Referring|International|LAmerica
https://www.repubblica.it,La Repubblica,,News Source,@repubblica,La Repubblica,,Referring|International|Europe
https://www.larepublica.pe,La Republica,,News Source,@larepublica_pe,La Republica,,Referring|International|LAmerica
https://www.lastampa.it,La Stampa,,News Source,@LaStampa,La Stampa,,Referring|International|Europe
https://www.latercera.com,La Tercera,,News Source,@latercera,La Tercera,,Referring|International|LAmerica
http://latimes.com,LA Times,,News Source,@latimes,LA Times, ,left-center|Referring|International|NAmerica
https://www.lavanguardia.com,La Vanguardia,,News Source,@LaVanguardia,La Vanguardia,,Referring|International|Europe
